listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
RFM0035,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-SUP-2Q,Carteira 2,BA,"Santa Cruz Cabrália, BA","Santa Cruz Cabrália, BA, Coroa Vermelha",2,241,1097.4,34,2989.06,2025-11,0.1429,0.3789,4,30,282.75,188.53,15,2025-11-11,0.37,565.5,1891.6599999999999,crítico
RUP1005,Blumenau-Central-apartamento-SUP-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Escola Agrícola",3,492,1488.96,61,968.38,2025-11,0.4815,0.2419,13,30,134.69,125.5,10,2025-11-11,1.54,404.07,-520.58,ok
SSG0225,Florianopolis-UFSC-apartamento-TOP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Córrego Grande",3,921,2360.17,16,2679.84,2025-11,0.4074,0.5048,11,30,265.82,174.5,4,2025-11-11,0.88,797.46,319.6700000000001,berlinda
SSL303,Florianopolis-Itacorubi-apartamento-TOP-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Córrego Grande",0,817,4671.74,12,3830.55,2025-11,0.6,0.3193,18,30,346.72,339.0,12,2025-11-11,1.22,0.0,-841.1899999999996,ok
TCO1216,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Centro Histórico",0,499,2401.3,72,1793.66,2025-11,0.7333,0.4337,22,30,137.09,120.0,7,2025-11-11,1.34,0.0,-607.6400000000001,ok
TFL002,Florianopolis-UFSC-casa-JR-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Carvoeira",0,396,197.86,13,1477.39,2025-11,0.0667,0.3851,2,30,126.0,123.74,19,2025-11-11,0.13,0.0,1279.5300000000002,crítico
TXP1410,Goiania-Central-apartamento-SUP-1Q,Carteira 1_sys-price,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",0,779,2556.02,149,1516.4,2025-11,0.5333,0.3335,16,30,185.63,172.38,13,2025-11-11,1.69,0.0,-1039.62,ok
UPP0102,Curitiba-Centro-apartamento-JR-1Q,Carteira 4,PR,"Curitiba, PR","Curitiba, PR, Alto da XV",3,17,1012.83,282,1884.7,2025-11,0.2963,0.5093,8,30,143.25,136.5,16,2025-11-11,0.54,429.75,871.87,atenção
VBX1518,Sao_Paulo-Vila_Olimpia-apartamento-TOP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Vila Olímpia",4,352,6193.56,98,8513.39,2025-11,0.5769,0.587,15,30,451.47,259.14,7,2025-11-11,0.73,1805.88,2319.829999999999,atenção
VNU1405,Sao_Paulo-Bela_Vista-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Bela Vista",0,281,2240.96,596,3486.42,2025-11,0.5,0.5791,15,30,182.33,153.0,10,2025-11-11,0.64,0.0,1245.46,atenção
VST034,Especial-VST-casa-TOP-1Q,Carteira 5,SC,"Anitápolis, SC","Anitápolis, SC, Rio dos Pinheiros",2,234,2375.58,41,2231.25,2025-11,0.4286,0.1613,12,30,239.83,194.18,11,2025-11-11,1.06,479.66,-144.32999999999993,berlinda
VTD0703,Florianopolis-UFSC-apartamento-SUP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Trindade",1,137,4414.11,40,2727.0,2025-11,0.7931,0.4971,23,30,232.91,170.0,6,2025-11-11,1.62,232.91,-1687.1099999999997,ok
ACT029,Brasilia-Vila_Planalto-casa-SUP-3Q,Carteira 1,DF,"Brasília, DF","Brasília, DF, Vila Planalto",9,488,8182.16,7,7038.54,2025-11,0.7619,0.4589,16,30,695.5,443.75,4,2025-11-11,1.16,6259.5,-1143.62,ok
BCA0211,Salvador-Ondina_Rio_Vermelho-apartamento-TOP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Ondina",0,170,4644.39,34,3630.22,2025-11,0.7333,0.5369,22,30,268.09,226.88,8,2025-11-11,1.28,0.0,-1014.1700000000005,ok
