listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional,score_risco_bruto
VGZ0004,Imbituba-Praia_do_Rosa-casa-SUP-1Q,Carteira 6,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera",5,620,2070.37,57,2501.25,2025-11,0.72,0.3146,18,30,142.78,146.33,3,2025-11-11,0.83,713.9,430.8800000000001,berlinda,3,3.0,2509.3599999999997,2386.4428,8.402554775945358,41.05793450881612,Média,🟠 Abaixo precisa esforço,
BPM0909,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,12,3100.15,203,3119.92,2025-11,0.6333,0.546,19,30,196.42,218.45,11,2025-11-11,0.99,0.0,19.769999999999982,berlinda,11,1.0,5503.1,4621.938235,1.3842523205723212,1.5113350125944585,Baixa,🟢 Abaixo viável,
PNJ0203,Florianopolis-Ingleses_Centro-apartamento-SUP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,169,2669.1,19,2987.88,2025-11,0.4667,0.2304,14,30,247.86,199.0,8,2025-11-11,0.89,0.0,318.7800000000002,berlinda,8,2.0,4261.1,3412.0864,10.615757660950248,56.42317380352645,Alta,🟢 Abaixo viável,
SPT0303,Blumenau-Central-apartamento-JR-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Itoupava Seca",0,422,631.05,31,707.55,2025-11,0.2333,0.2143,7,30,107.0,100.47,19,2025-11-11,0.89,0.0,76.5,berlinda,19,1.0,2539.98,1076.403369,10.862772948908205,57.93450881612091,Alta,🟢 Abaixo viável,
URA0015,Porto_Seguro-Urbano-casa-JR-2Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Paraíso dos Pataxós",0,702,1963.14,17,2414.85,2025-11,0.4,0.376,12,30,175.75,176.15,13,2025-11-11,0.81,0.0,451.7099999999998,berlinda,13,3.0,4253.09,2879.12,10.983251754767373,59.69773299748111,Alta,🟢 Abaixo viável,
ZNB1604,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",1,1,2579.85,203,3119.92,2025-11,0.5862,0.546,17,30,205.94,168.1,10,2025-11-11,0.83,205.94,540.0700000000002,berlinda,10,4.0,4260.85,3565.2522,7.274687091335679,32.241813602015114,Média,🟢 Abaixo viável,
EDF1707,Salvador-Ondina_Rio_Vermelho-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Rio Vermelho",0,94,2693.65,82,3153.33,2025-11,0.5667,0.5658,17,30,191.82,166.33,12,2025-11-11,0.85,0.0,459.67999999999984,berlinda,12,3.0,4689.610000000001,3824.7605320000002,8.08231027728359,38.79093198992443,Média,🟢 Abaixo viável,
ILC4415,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1800,10517.66,30,11132.4,2025-11,0.5333,0.6976,16,30,821.56,613.83,6,2025-11-11,0.94,0.0,614.7399999999998,berlinda,6,2.0,14200.64,12481.793234,16.948090896841645,82.11586901763224,Crítico,🟢 Abaixo viável,
JBV232,Especial-JBV-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1093,9719.1,34,10718.98,2025-11,0.6667,0.6611,20,30,644.85,498.4,5,2025-11-11,0.91,0.0,999.8799999999992,berlinda,5,3.0,12211.1,11380.5164,15.497127276413725,76.82619647355163,Alta,🟢 Abaixo viável,
JBV464,Especial-JBV-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,793,8942.21,25,9026.89,2025-11,0.6667,0.58,20,30,566.95,563.43,7,2025-11-11,0.99,0.0,84.68000000000029,berlinda,7,1.0,12886.22,11571.681466999999,5.2854584912411875,18.639798488664987,Baixa,🟢 Abaixo viável,
