listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,grupo_criticidade
CAC025,Florianopolis-Ingleses_Praia-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,174,1830.71,28,2539.97,2025-10,0.3548,0.2421,11,31,194.92,256.29,14,2025-10-06,0.72,atenção
CNB003,Especial-CNB-casa-TOP-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",2,567,2916.02,15,3941.66,2025-10,0.1724,0.3888,5,31,715.8,561.77,22,2025-10-06,0.74,atenção
COB0710,Sao_Paulo-Brooklin-apartamento-SUP-1Q,Carteira 2,SP,"São Paulo, SP","São Paulo, SP, Santo Amaro",3,1,0.0,103,2004.89,2025-10,0.0,0.3064,0,31,,190.72,25,2025-10-06,0.0,crítico
EGF000,Garopaba-Centro-casa-JR-3Q,Carteira 6,SC,"Garopaba, SC","Garopaba, SC, Ferrugem",2,548,733.45,11,1459.87,2025-10,0.1724,0.0917,5,31,214.0,390.0,24,2025-10-06,0.5,atenção
EMA101,Cabo_Frio-Centro-apartamento-SUP-2Q,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Centro",2,1065,2726.0,76,4359.19,2025-10,0.3793,0.4639,11,31,275.18,226.42,12,2025-10-06,0.63,atenção
ESA901,Balneario_Camboriu-Norte-apartamento-SUP-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",8,859,2975.94,19,4274.23,2025-10,0.5652,0.3412,13,31,306.38,243.89,9,2025-10-06,0.7,atenção
ESP0301,Florianopolis-Jurere_Internacional-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,23,2775.93,14,3515.8,2025-10,0.5161,0.2788,16,31,202.94,218.92,12,2025-10-06,0.79,atenção
ISC1511,Sao_Paulo-Republica-apartamento-TOP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Vila Buarque",0,468,2541.51,79,2864.93,2025-10,0.5806,0.4165,18,31,171.72,171.42,12,2025-10-06,0.89,berlinda
JBV173,Especial-JBV-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1667,5992.17,24,5125.13,2025-10,0.6774,0.4414,21,31,354.33,322.33,9,2025-10-06,1.17,ok
JBV179,Especial-JBV-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,758,7340.42,24,5125.13,2025-10,0.6774,0.4414,21,31,1794.67,410.78,9,2025-10-06,1.43,ok
MHFA1204,Itapema-Canto_Praia-apartamento-SUP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,448,909.0,7,1455.01,2025-10,0.129,0.199,4,31,180.0,180.0,23,2025-10-06,0.62,atenção
NWT0805,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,299,2475.61,30,4057.04,2025-10,0.3226,0.5207,10,31,281.6,283.33,15,2025-10-06,0.61,atenção
NWT1222,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,295,4373.3,30,4057.04,2025-10,0.5161,0.5207,16,31,336.06,349.57,14,2025-10-06,1.08,berlinda
