listing,group_name,num_listing_blocked,n_days_status,listing_fat,n_competitors,meta_value,year_month,to_listings,to_competitors,days_occupied,total_days
ERJ101,Balneario_Camboriu-Norte-apartamento-JR-4Q,7,711,2982.25,9,4585.33,2025-09,0.6957,0.4692,16,30
ERV0101,Balneario_Camboriu-Centro-apartamento-SUP-3Q,9,371,2144.49,60,2728.86,2025-09,0.7619,0.3613,16,30
IFT1308,Itapema-Meia_Praia-Norte-apartamento-TOP-1Q,0,125,3218.7,23,1858.91,2025-09,1.0,0.3237,30,30
ILC2412,Especial-ILC-hotel-JR-1Q,0,1910,7709.19,15,4134.37,2025-09,0.9667,0.5328,29,30
JBV141,Especial-JBV-hotel-TOP-1Q,2,1488,7559.86,31,7153.6,2025-09,0.9643,0.7461,27,30
MHF1703,Itapema-Canto_Praia-apartamento-TOP-1Q,0,424,3964.59,14,993.99,2025-09,0.9667,0.3113,29,30
MHF2105,Itapema-Canto_Praia-apartamento-TOP-1Q,4,346,2624.63,14,993.99,2025-09,0.6154,0.3113,16,30
RAL0303,Florianopolis-Ingleses_Centro-apartamento-SUP-2Q,0,329,1899.04,8,2082.39,2025-09,0.6,0.3518,18,30
RCB405,Itapema-Meia_Praia-Sul-apartamento-JR-3Q,6,430,2315.83,18,1580.58,2025-09,0.8333,0.287,20,30
RCP202,Florianopolis-Canasvieiras_Meio-apartamento-JR-2Q,0,698,2033.8,11,2295.43,2025-09,0.5,0.3488,15,30
SMO0202,Balneario_Picarras-Geral-apartamento-SUP-2Q,0,3,1315.18,44,1016.07,2025-09,0.4667,0.1971,14,30
TXP2107,Goiania-Central-apartamento-SUP-1Q,12,711,1994.38,140,2762.08,2025-09,0.8333,0.6003,15,30
VEL0102,Guarapari-Centro-apartamento-JR-2Q,0,166,2244.88,10,1459.88,2025-09,0.7,0.2388,21,30
VLE001,Bombinhas-Mariscal-apartamento-JR-2Q,0,1433,454.34,21,1716.81,2025-09,0.0667,0.2651,2,30
VLE002,Bombinhas-Mariscal-apartamento-JR-2Q,0,1433,0.0,21,1716.81,2025-09,0.0,0.2651,0,30
VLR802,Florianopolis-Centrao-apartamento-JR-1Q,0,1160,2121.42,67,2394.45,2025-09,0.6,0.585,18,30
BBH1003,Balneario_Picarras-Geral-apartamento-TOP-2Q,0,348,3900.61,30,1162.8,2025-09,0.8333,0.1828,25,30
BOU0101,Florianopolis-Canasvieiras_Meio-apartamento-SIM-1Q,0,383,1153.42,22,1211.78,2025-09,0.5333,0.3788,16,30
ELF0403,Bombinhas-Bombas-apartamento-SUP-1Q,1,124,1387.24,20,1429.7,2025-09,0.2759,0.2367,8,30
ELF0609,Bombinhas-Bombas-apartamento-SUP-1Q,12,95,250.28,20,1429.7,2025-09,0.1111,0.2367,2,30
ESN0505,Salvador-Ondina_Rio_Vermelho-apartamento-TOP-1Q,1,168,5589.02,36,2915.05,2025-09,0.931,0.5788,27,30
ESR1912,Curitiba-Batel-apartamento-TOP-1Q,0,595,4586.04,21,3368.42,2025-09,0.7333,0.5248,22,30
ETL2702,Balneario_Camboriu-Norte-apartamento-MASTER-4Q,8,273,8984.8,17,8622.99,2025-09,0.8636,0.3969,19,30
GDP0010,Brasilia-Asa_Sul-apartamento-JR-1Q,0,129,3425.99,223,2708.72,2025-09,0.8333,0.6653,25,30
IFT1304,Itapema-Meia_Praia-Norte-apartamento-TOP-1Q,0,187,3116.47,23,1858.91,2025-09,0.9333,0.3237,28,30
JCS0004,Penha-Longe-casa-JR-1Q,0,265,2116.99,14,1185.18,2025-09,0.8333,0.2988,25,30
MCG0006,Porto_Seguro-Pitinga-casa-JR-3Q,0,269,0.0,16,4257.48,2025-09,0.0,0.4106,0,30
MHF0508,Itapema-Canto_Praia-apartamento-TOP-2Q,4,327,2489.69,12,2364.02,2025-09,0.5769,0.2853,15,30
