listing,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel
ESM602,143.58,138.0,1
ESN0505,281.85,,0
ESP0301,189.67,180.0,1
ESR1912,263.82,176.0,1
ESS0505,172.91,144.0,3
ESS1004,166.3,135.0,2
EST0301,186.86,150.0,2
ESZ0103,172.26,191.0,1
ETC0028,295.13,230.0,1
ETD0101,127.67,140.4,5
ETE0304,253.0,,0
ETE0308,209.89,150.0,1
ETHA604,196.47,177.6,5
ETI0724,202.39,130.0,2
ETL2702,662.68,400.0,1
ETN0211,,,0
ETP1002,171.0,132.6,5
ETPA1103,200.42,125.0,1
ETY0024,215.38,160.0,3
EUB0902,158.46,150.0,2
EUB1006,160.81,150.0,2
EUB1602,172.95,152.6,5
EVA0301,159.91,,0
EVA0506,122.75,,0
EVA1005,130.21,,0
EVA105,172.05,130.0,2
EVA704,178.04,,0
EVA806,148.95,130.0,1
EVB308,180.37,120.0,1
EVE0104,172.8,,0
EVM1012,198.07,,0
EVO0801,241.41,200.0,2
EVR1403,166.25,169.6,5
EVR1703,166.86,172.0,4
EVZ0601,156.89,300.0,1
FDK0074,236.55,181.0,1
FDL101,,160.0,5
FDL103,160.0,160.0,5
FLO001,,201.6,5
FLT0001,87.5,80.0,2
FLT0002,93.0,,0
FLT0004,85.26,84.0,3
FLT0011,87.57,,0
FMI0218,190.23,,0
FML202,,,0
FNX0101,190.0,190.0,3
FRE2112,176.2,209.0,1
FTM0401,138.96,,0
GBA1104,184.75,176.6,5
GBA908,175.1,176.6,5
GBL601,161.55,130.0,3
GCH0201,200.0,200.0,2
GCO0302,152.0,130.0,2
GDI268,,141.2,5
GDP0008,208.0,166.0,5
GDP0010,175.44,170.0,2
GDP0107,204.46,,0
GEN0102,130.18,110.0,3
GET0302,279.73,273.6,5
GET0706,307.62,306.0,2
GGE203,215.4,219.0,3
GGR0702,206.8,180.0,2
GIU0001,173.67,215.8,5
GIU0003,167.83,220.2,5
GLA0037,176.12,,0
GMB0414,288.12,253.0,1
GOS1007,210.36,,0
GPK0115,166.13,179.4,5
GPL1305,281.04,,0
GPS0102,121.56,120.25,4
GRB0917,160.43,150.0,5
GRI1305,240.67,296.0,5
GRI1506,155.53,145.0,3
GSH0101,424.68,200.0,2
GSH0102,291.21,313.0,3
GSH2101,304.72,315.0,2
GSS0488,205.45,215.0,5
GTR0301,247.55,170.0,2
GUA1902,244.46,,0
GVM133,157.83,158.8,5
HAI0203,131.33,118.5,4
HAI0702,156.1,114.25,4
HAI406,151.47,115.67,3
HAL103,237.45,242.0,3
HBA0309,234.88,234.0,1
HBW2317,279.69,,0
HFO0208,129.24,,0
HIG1003,228.0,,0
HIN0117,170.25,180.0,4
HMA0305,190.86,162.0,1
HMC0320,170.87,180.33,3
HMO0409,212.27,202.25,4
HMO0410,206.36,,0
HOA0704,160.09,181.75,4
HOA0906,214.11,229.2,5
HOX1010,232.48,,0
HPN0618,140.0,154.4,5
HPN707,126.18,125.0,5
HRE0025,223.74,200.0,2
HRE0035,280.46,,0
HSC0518,158.83,149.0,1
HSS0007,152.42,135.0,4
HYP0202,,174.6,5
IAA0502,224.48,160.0,1
IAA0503,241.92,,0
IAA0504,236.58,160.0,1
IAA1002,224.73,160.0,2
IAA1003,231.93,,0
IAA1004,248.0,,0
IAB109,350.0,350.0,3
IAP0403,145.62,,0
IAP103,124.45,131.0,4
IBC0205,346.7,,0
IBE104,177.61,,0
IBI307,217.43,184.0,1
IBL103,134.79,110.0,1
IBY1613,243.32,,0
ICT0104B,125.35,,0
IDA101,196.25,,0
IDA105,135.36,120.0,1
IDC0102,228.5,184.33,3
IDF105,132.21,,0
IDI0306,165.75,,0
IDN0402,220.0,,0
IDO207,210.0,,0
IDP104,228.37,180.0,2
IDP204,217.87,,0
IDVA0903,243.58,219.0,2
IDVB2602,157.46,159.0,3
IER0305,150.45,,0
IFT0808,145.25,120.0,1
IFT1003,125.38,124.0,1
IFT1005,130.7,,0
IFT1108,112.83,,0
IFT1203,117.04,120.0,1
IFT1208,130.53,120.0,2
IFT1304,130.25,,0
IFT1308,155.63,,0
IFT1405,320.0,320.0,3
IFT1802,122.18,,0
IHD0101,259.33,248.0,2
IHO127,131.18,160.0,3
IHO264,131.7,,0
ILC1206,322.2,260.0,1
ILC1211,306.13,260.0,3
ILC1212,380.41,,0
ILC1306,367.48,317.0,2
ILC1313,297.6,288.0,2
ILC1406,351.97,,0
ILC1506,427.26,446.0,2
ILC2106,367.39,317.0,3
ILC2108,469.62,,0
ILC2201,452.87,486.0,3
ILC2203,390.63,346.0,3
ILC2305,380.63,,0
ILC2307,344.81,,0
ILC2309,355.19,,0
ILC2310,387.42,405.0,2
ILC2314,339.93,,0
ILC2316,423.28,,0
ILC2403,385.13,286.0,2
ILC2412,343.9,286.0,1
ILC2413,316.31,,0
ILC2414,450.0,379.0,3
ILC2415,368.13,310.0,2
ILC2505,422.27,401.0,1
ILC2508,735.23,450.0,1
ILC3103,315.82,288.0,3
ILC3104,309.19,,0
ILC3105,296.06,260.0,3
ILC3109,372.59,292.0,1
ILC3111,327.14,317.0,3
ILC3113,286.3,240.0,1
ILC3208,374.74,405.0,2
ILC3209,427.8,379.0,2
ILC3308,358.5,405.0,2
ILC3312,328.12,333.0,1
ILC3313,298.54,245.0,2
ILC3315,354.42,,0
ILC3401,375.44,324.0,1
ILC3403,297.92,260.0,3
ILC3404,342.22,,0
ILC3405,288.5,317.0,2
ILC3412,790.0,790.0,2
ILC3413,307.04,240.0,2
ILC3415,436.47,357.0,1
ILC3503,414.28,,0
ILC3505,393.64,405.0,3
ILC4102,349.53,405.0,3
ILC4104,313.4,,0
ILC4107,339.17,365.0,3
ILC4112,316.47,,0
ILC4115,364.5,,0
ILC4202,369.26,,0
ILC4404,300.64,,0
ILC4406,370.75,346.0,3
ILC4415,367.11,405.0,3
ILC4501,648.3,,0
ILC4502,1500.0,1500.0,1
ILC4506,416.68,379.0,1
ILC4508,562.75,,0
ILH0107,156.14,,0
ILH106,300.75,250.0,1
ILH310,178.79,,0
IML0107,163.05,130.0,2
IPC0901,258.44,230.0,1
IPS0701,148.0,130.0,3
IPT0141,208.84,,0
IPTR0082,133.57,110.0,2
IPTR0171,166.69,,0
IRB203,338.18,264.0,1
IRB205,246.35,226.0,1
IRE0022,205.29,182.0,3
IRE021,194.18,300.0,5
ISC0906,159.35,,0
ISC1511,185.71,149.0,2
ISM0619,182.67,162.5,4
ISM0806,173.39,161.6,5
ITA0304,202.1,225.0,1
ITFA039,211.47,180.0,3
IVT1301,200.67,150.0,2
JAS0001,115.53,115.0,1
JAS0002,110.25,124.0,2
JAS0003,112.22,124.0,1
JAS0004,116.27,116.0,3
JAT0355,259.54,180.0,1
JBA202,138.84,,0
JBM201,205.15,,0
JBM202,198.2,,0
JBM302,224.86,175.75,4
JBN0043,198.05,177.0,3
JBV106,270.36,284.0,3
JBV108,352.46,,0
JBV115,289.81,241.0,2
JBV122,498.78,496.0,2
JBV124,322.11,363.0,3
JBV134,280.96,315.0,2
JBV141,351.3,,0
JBV142,367.92,300.0,3
JBV152,386.26,,0
JBV155,279.85,,0
JBV157,369.38,300.0,3
