listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,atingimento_meta,grupo_criticidade,falta_meta,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,prioridade,status_operacional
ETL2702,Balneario_Camboriu-Norte-apartamento-MASTER-4Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Pioneiros",8,273,8984.8,17,8622.99,2025-09,0.8636,0.4286,19,30,826.0,869.13,15,1.04,berlinda,-361.8099999999995,-0.0,22021.75,20243.51002,-36.4676203149951,1.0676156583629894,Baixa,🟢 Acima com folga
MHF0508,Itapema-Canto_Praia-apartamento-TOP-2Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",4,327,2654.51,12,2525.58,2025-09,0.6154,0.3191,16,30,239.73,198.95,20,1.05,berlinda,-128.9300000000003,-0.0,6633.51,5103.1866,-10.156329833147261,11.032028469750891,Baixa,🟢 Acima com folga
SPJ0201,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,455,3961.74,15,3792.7,2025-09,0.8333,0.5025,25,30,204.22,282.13,8,1.04,berlinda,-169.03999999999996,-0.0,6218.78,5842.531432,-12.574486566298413,8.185053380782918,Baixa,🟢 Acima com folga
THK0502,Sao_Paulo-Republica-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, República",0,21,3061.36,443,3102.72,2025-09,0.9,0.7135,27,30,145.2,139.52,21,0.99,berlinda,41.35999999999967,1.0,5991.280000000001,5698.2880000000005,1.8598349834983356,31.13879003558719,Baixa,🟢 Abaixo viável
TRS0005,Penha-Beto_Carrero-casa-JR-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Armação",0,103,1215.24,21,1197.1,2025-09,0.5,0.4542,15,30,131.6,108.37,24,1.02,berlinda,-18.1400000000001,-0.0,3816.12,2515.6800000000003,-1.6421617241667457,25.622775800711743,Baixa,🟢 Acima com folga
CMC101,Florianopolis-Ingleses_Norte-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,985,1619.3,14,1500.46,2025-09,0.4667,0.3743,14,30,,178.55,29,1.08,berlinda,-118.83999999999992,-0.0,6797.250000000001,4035.849265,-14.14158458072857,6.405693950177936,Baixa,🟢 Acima com folga
CPM1110,Sao_Paulo-Pinheiros-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Pinheiros",0,42,4444.88,396,4260.48,2025-09,0.9,0.6882,27,30,191.47,219.0,14,1.04,berlinda,-184.40000000000055,-0.0,7510.88,7204.280000000001,-9.478650292924769,12.455516014234876,Baixa,🟢 Acima com folga
EAC403,Balneario_Camboriu-Centro-apartamento-JR-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",0,672,1579.17,23,1554.28,2025-09,0.6333,0.4968,19,30,141.13,121.13,8,1.02,berlinda,-24.8900000000001,-0.0,2548.21,2192.863032,-1.9397571222688395,24.733096085409255,Baixa,🟢 Acima com folga
IAA0504,Recife-Boa_Viagem-apartamento-TOP-1Q,Carteira 2,PE,"Recife, PE","Recife, PE, Boa Viagem",0,537,4985.86,52,4952.87,2025-09,0.8667,0.7607,26,30,238.7,218.43,21,1.01,berlinda,-32.98999999999978,-0.0,9572.89,8961.438901,-1.4549151703961445,26.156583629893237,Baixa,🟢 Acima com folga
IAP0403,Florianopolis-Ingleses_Praia-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses sul",0,321,2433.02,22,2595.66,2025-09,0.7,0.6402,21,30,140.0,203.65,23,0.94,berlinda,162.63999999999987,1.0,7116.969999999999,5711.785,12.760390806191863,76.15658362989323,Média,🟢 Abaixo viável
